State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,CI_Min_Obesity,CI_Max_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Prim_Care_Phys_Rate,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
17,1,Adams,Illinois,IL,21,29,22.5,35.6,77.5,68.6,86.4,26.3,20,32.6,26.1,17.7,34.4,21.6,15.5,27.7,7.8,4.4,11.3,6113,11231,1438,74.6,47.7,1,2
17,3,Alexander,Illinois,IL,76,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1,0,3,1715,1484,428,33.6,22.4,1,2
17,5,Bond,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,13.7,4.9,22.4,1604,2479,370,27.7,22.2,2,2
17,7,Boone,Illinois,IL,48,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,16.4,8.8,24,5.5,0,12.2,5213,4565,605,55.5,19.8,1,2
17,9,Brown,Illinois,IL,59,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,556,838,121,43.9,43.9,2,1
17,11,Bureau,Illinois,IL,27,24.1,14.6,33.7,81,71.3,90.7,22,14.6,29.5,20,11.2,28.8,-1111.1,-1111.1,-1111.1,8.4,4.2,12.5,4090,5992,621,53.8,28.3,2,2
17,13,Calhoun,Illinois,IL,59,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,409,931,127,58.1,19.4,2,2
17,15,Carroll,Illinois,IL,55,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,14.3,4.8,23.8,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3.1,0,6.9,1651,3230,377,43.5,24.9,2,1
17,17,Cass,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,15.7,5.7,25.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,6.3,0.1,12.5,1899,2188,292,14.4,28.8,2,2
17,19,Champaign,Illinois,IL,14,22.4,18.1,26.7,70.9,64.1,77.6,19,14.9,23.2,21.1,15.5,26.7,20.3,15.5,25,5.8,3.4,8.3,19833,17356,2424,121.7,45.4,1,2
17,21,Christian,Illinois,IL,26,-1111.1,-1111.1,-1111.1,86.1,77,95.3,25.6,16.3,34.9,-1111.1,-1111.1,-1111.1,29.3,19.4,39.2,10.7,4.2,17.1,3112,5790,816,54,39.8,2,2
17,23,Clark,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.8,3,18.6,1686,2855,368,23.6,11.8,2,2
17,25,Clay,Illinois,IL,60,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1441,2522,407,42.5,28.3,1,1
17,27,Clinton,Illinois,IL,47,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,11.5,2.4,20.6,2511,4461,561,55.4,30.5,2,1
17,29,Coles,Illinois,IL,19,17.2,11,23.5,-1111.1,-1111.1,-1111.1,30.1,20.3,39.9,-1111.1,-1111.1,-1111.1,18,11.4,24.6,9.5,4.2,14.9,5298,6808,1023,60.7,45,2,2
17,31,Cook,Illinois,IL,1,27.8,26.6,28.9,76.8,75.3,78.3,22,21,23.1,23,21.6,24.3,21.4,20.4,22.4,7.1,6.5,7.7,852932,577235,89487,137.2,67.4,1,2
