State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_HS_Diploma,Unemployed,Sev_Work_Disabled,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Ecol_Rpt_Ind,Ecol_Exp,Salm_Rpt,Salm_Rpt_Ind,Salm_Exp,Shig_Rpt,Shig_Rpt_Ind,Shig_Exp,Toxic_Chem,Carbon_Monoxide_Ind,Nitrogen_Dioxide_Ind,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,EH_Time_Span
17,1,Adams,Illinois,IL,21,7321,1422,1457,3659,4034,2,3,7,30,3,44,35,4,10,1122112,1,1,1,1,1,1,1999-2003
17,3,Alexander,Illinois,IL,76,1981,301,214,479,513,0,3,0,13,3,17,1,3,8,387443,1,1,1,1,1,1,1994-2003
17,5,Bond,Illinois,IL,60,3306,497,307,1009,1139,2,3,2,17,3,23,2,3,3,3957,1,1,1,1,1,1,1994-2003
17,7,Boone,Illinois,IL,48,6163,1555,786,2654,3081,7,4,4,32,4,24,17,4,7,118429,1,1,1,1,1,1,1999-2003
17,9,Brown,Illinois,IL,59,1775,128,120,406,454,0,3,1,3,3,7,0,3,2,-2222,1,1,1,1,1,1,1994-2003
17,11,Bureau,Illinois,IL,27,3848,956,620,1936,2052,3,3,5,20,3,27,1,3,16,11676,1,1,1,1,1,1,1999-2003
17,13,Calhoun,Illinois,IL,59,731,157,154,292,307,0,3,1,5,4,6,0,3,2,-2222,1,1,1,1,1,1,1994-2003
17,15,Carroll,Illinois,IL,55,1876,500,240,904,959,7,4,3,19,3,22,16,4,7,326,1,1,1,1,1,1,1994-2003
17,17,Cass,Illinois,IL,60,1850,370,221,750,813,2,3,1,13,3,18,3,3,3,2122406,1,1,1,1,1,1,1994-2003
17,19,Champaign,Illinois,IL,14,9434,3998,2188,10137,14335,11,4,5,61,4,71,8,3,22,101095,1,1,1,1,1,1,2001-2003
17,21,Christian,Illinois,IL,26,4615,978,730,1949,2076,2,3,4,16,3,19,0,3,4,3760666,1,1,1,1,1,1,1999-2003
17,23,Clark,Illinois,IL,60,2326,466,312,936,1006,3,4,2,20,3,22,1,3,3,4862,1,1,1,1,1,1,1994-2003
17,25,Clay,Illinois,IL,60,2346,416,320,779,822,0,3,1,25,4,19,0,3,3,5326,1,1,1,1,1,1,1994-2003
17,27,Clinton,Illinois,IL,47,5489,905,692,2000,2233,13,4,5,30,4,20,6,4,4,-2222,1,1,1,1,1,1,1999-2003
17,29,Coles,Illinois,IL,19,5138,1245,892,2894,3951,9,4,5,35,4,39,0,3,10,853648,1,1,1,1,1,1,1999-2003
17,31,Cook,Illinois,IL,1,767904,167659,109005,280843,312195,110,3,161,1970,3,1448,1459,4,805,12221689,1,1,1,1,1,1,2001-2003
17,33,Crawford,Illinois,IL,55,2869,567,373,1124,1211,1,3,4,8,3,27,27,4,8,893256,1,1,1,1,1,1,1994-2003
17,35,Cumberland,Illinois,IL,57,1463,299,256,597,653,0,3,6,9,3,16,0,3,7,-2222,1,1,1,1,1,1,1994-2003
17,37,DeKalb,Illinois,IL,17,6874,2808,1292,5329,7547,35,4,14,77,4,68,16,4,18,68844,1,1,1,1,1,1,1999-2003
17,39,De Witt,Illinois,IL,55,1873,459,406,910,965,1,3,3,10,3,22,6,4,7,-2222,1,1,1,1,1,1,1994-2003
17,41,Douglas,Illinois,IL,57,2708,496,306,1061,1162,4,3,10,14,3,28,3,3,12,697042,1,1,1,1,1,1,1994-2003
17,43,DuPage,Illinois,IL,2,61088,24496,12450,49336,53909,51,4,28,296,3,359,118,4,110,868607,1,1,1,1,1,1,2001-2003
17,45,Edgar,Illinois,IL,60,2495,543,391,1076,1143,0,3,2,17,3,26,1,3,4,107655,1,1,1,1,1,1,1994-2003
17,47,Edwards,Illinois,IL,55,843,165,100,379,393,3,4,1,3,3,9,1,3,3,-2222,1,1,1,1,1,1,1994-2003
17,49,Effingham,Illinois,IL,47,3717,1037,531,1828,2055,15,4,5,14,3,19,0,3,3,48940,1,1,1,1,1,1,1999-2003
17,51,Fayette,Illinois,IL,60,4121,680,391,1211,1326,1,3,2,17,3,28,5,3,4,0,1,1,1,1,1,1,1994-2003
17,53,Ford,Illinois,IL,55,1337,352,220,772,833,2,3,3,14,3,18,8,4,6,440059,1,1,1,1,1,1,1994-2003
17,55,Franklin,Illinois,IL,50,6469,1248,1202,2217,2329,0,3,2,28,3,31,1,3,10,680276,1,1,1,1,1,1,1999-2003
17,57,Fulton,Illinois,IL,30,5748,1066,951,2132,2250,1,3,4,11,3,23,2,3,4,335674,1,1,1,1,1,1,1999-2003
17,59,Gallatin,Illinois,IL,62,1150,171,177,345,356,0,3,1,5,3,8,0,3,3,-2222,1,1,1,1,1,1,1994-2003
17,61,Greene,Illinois,IL,40,2078,404,362,794,863,2,3,3,19,4,16,0,3,4,-2222,1,1,1,1,1,1,1994-2003
17,63,Grundy,Illinois,IL,48,3789,1618,673,2378,2677,5,4,4,23,4,21,1,3,6,1484339,1,1,1,1,1,1,1999-2003
17,65,Hamilton,Illinois,IL,62,1510,218,197,462,473,0,3,1,7,3,11,1,3,4,-2222,1,1,1,1,1,1,1994-2003
17,67,Hancock,Illinois,IL,55,1910,511,446,1069,1131,6,4,4,23,3,26,4,3,8,0,1,1,1,1,1,1,1994-2003
17,69,Hardin,Illinois,IL,72,1086,132,148,272,276,0,3,0,6,4,7,5,4,2,238720,1,1,1,1,1,1,1994-2003
17,71,Henderson,Illinois,IL,54,1002,236,232,456,474,0,3,2,7,3,9,20,4,3,-2222,1,1,1,1,1,1,1994-2003
17,73,Henry,Illinois,IL,18,5352,1274,765,2789,3018,5,3,5,30,3,41,23,4,8,19682,1,1,1,1,1,1,1999-2003
17,75,Iroquois,Illinois,IL,27,4106,767,561,1686,1823,1,3,5,27,4,23,4,4,14,187267,1,1,1,1,1,1,1999-2003
17,77,Jackson,Illinois,IL,8,4765,1466,1103,3303,4858,0,3,0,34,3,59,26,4,29,38907,1,1,1,1,1,1,1999-2003
17,79,Jasper,Illinois,IL,56,1184,308,172,548,594,3,3,5,10,3,13,2,4,4,2227948,1,1,1,1,1,1,1994-2003
17,81,Jefferson,Illinois,IL,34,6339,1052,950,2235,2435,1,3,2,29,4,26,10,4,12,19985,1,1,1,1,1,1,1999-2003
17,83,Jersey,Illinois,IL,38,2600,619,447,1242,1427,6,4,6,16,3,26,4,3,19,-2222,1,1,1,1,1,1,1994-2003
17,85,Jo Daviess,Illinois,IL,57,2638,555,400,1277,1315,17,4,11,46,4,31,22,4,13,1541718,1,1,1,1,1,1,1994-2003
17,87,Johnson,Illinois,IL,64,3051,318,254,766,838,0,3,1,15,4,19,3,3,5,-2222,1,1,1,1,1,1,1994-2003
17,89,Kane,Illinois,IL,10,58483,14138,5767,24413,28425,21,4,13,164,4,159,53,3,80,557207,1,1,1,1,1,1,2001-2003
17,91,Kankakee,Illinois,IL,15,13920,3361,1910,5710,6570,5,4,3,150,4,70,10,3,35,832945,1,1,1,1,1,1,2001-2003
17,93,Kendall,Illinois,IL,48,5089,1931,1135,4175,4840,6,3,6,32,4,32,8,4,9,67737,1,1,1,1,1,1,1999-2003
17,95,Knox,Illinois,IL,21,6683,1921,1216,2980,3209,5,4,6,28,3,36,43,4,8,94932,1,1,1,1,1,1,1999-2003
17,97,Lake,Illinois,IL,2,58614,16165,9449,36015,41644,32,4,20,561,4,263,130,4,81,668138,1,1,1,1,1,1,2001-2003
17,99,La Salle,Illinois,IL,13,14127,3486,2520,6146,6671,2,3,3,27,3,50,1,3,10,3143784,1,1,1,1,1,1,2001-2003
17,101,Lawrence,Illinois,IL,60,2102,427,469,907,961,1,3,2,27,4,21,12,4,3,0,1,1,1,1,1,1,1994-2003
17,103,Lee,Illinois,IL,25,4860,925,561,1991,2167,7,4,4,17,3,22,5,4,4,81371,1,1,1,1,1,1,1999-2003
17,105,Livingston,Illinois,IL,26,5752,939,711,2139,2348,2,3,4,16,3,22,1,3,4,53627,1,1,1,1,1,1,1999-2003
17,107,Logan,Illinois,IL,26,4005,751,748,1718,1976,14,4,3,18,4,17,0,3,3,369637,1,1,1,1,1,1,1999-2003
17,109,McDonough,Illinois,IL,50,2245,717,560,1841,2830,0,3,2,10,3,26,2,3,8,69753,1,1,1,1,1,1,1999-2003
17,111,McHenry,Illinois,IL,12,20973,8354,4390,15814,17884,18,3,17,122,4,109,25,4,34,221339,1,1,1,1,1,1,2001-2003
17,113,McLean,Illinois,IL,11,8574,3513,2108,8625,11629,2,3,9,51,3,56,17,4,19,351405,1,1,1,1,1,1,2001-2003
17,115,Macon,Illinois,IL,15,12240,3271,3860,5965,6624,5,4,3,49,3,74,9,3,37,7163343,1,1,1,1,1,1,2001-2003
17,117,Macoupin,Illinois,IL,31,5984,1423,886,2718,2969,8,4,7,18,3,29,4,4,5,0,1,1,1,1,1,1,1999-2003
17,119,Madison,Illinois,IL,4,27480,7435,4467,14404,16119,9,3,8,141,4,110,9,3,47,11328080,1,1,1,1,1,1,2001-2003
17,121,Marion,Illinois,IL,34,5688,1192,980,2182,2340,1,3,2,36,4,27,8,3,12,85518,1,1,1,1,1,1,1999-2003
17,123,Marshall,Illinois,IL,55,1375,311,226,736,780,1,3,3,12,3,17,8,4,5,345218,1,1,1,1,1,1,1994-2003
17,125,Mason,Illinois,IL,40,2161,519,272,868,933,9,4,3,41,4,18,2,3,5,935955,1,1,1,1,1,1,1994-2003
17,127,Massac,Illinois,IL,65,2496,392,626,848,888,2,4,2,49,4,20,3,3,6,815022,1,1,1,1,1,1,1994-2003
17,129,Menard,Illinois,IL,57,1016,312,294,697,753,110,4,6,18,4,17,4,4,7,0,1,1,1,1,1,1,1994-2003
17,131,Mercer,Illinois,IL,57,1777,491,333,939,990,3,3,8,17,3,24,23,4,10,-2222,1,1,1,1,1,1,1994-2003
17,133,Monroe,Illinois,IL,47,2670,718,479,1702,1877,1,3,4,16,4,16,2,3,3,418,1,1,1,1,1,1,1999-2003
17,135,Montgomery,Illinois,IL,30,4819,937,641,1699,1820,1,3,3,35,4,18,2,3,3,8040146,1,1,1,1,1,1,1999-2003
17,137,Morgan,Illinois,IL,30,4787,982,821,1990,2262,1,3,4,21,4,22,7,4,4,1401777,1,1,1,1,1,1,1999-2003
17,139,Moultrie,Illinois,IL,57,2074,336,258,793,860,1,3,7,17,3,20,9,4,9,191329,1,1,1,1,1,1,1994-2003
17,141,Ogle,Illinois,IL,45,6161,1397,819,2941,3239,11,4,8,37,4,36,21,4,16,1313313,1,1,1,1,1,1,1999-2003
17,143,Peoria,Illinois,IL,15,19008,4619,3195,9711,11026,6,4,5,49,3,120,126,4,60,31953727,1,1,1,1,1,1,2001-2003
17,145,Perry,Illinois,IL,40,4336,692,394,1283,1412,1,3,4,9,3,24,5,3,7,226814,1,1,1,1,1,1,1994-2003
17,147,Piatt,Illinois,IL,55,1304,372,269,920,969,4,4,3,19,4,21,9,4,6,30119,1,1,1,1,1,1,1994-2003
17,149,Pike,Illinois,IL,62,2404,436,335,955,1025,1,4,2,17,3,22,3,4,9,1872996,1,1,1,1,1,1,1994-2003
17,151,Pope,Illinois,IL,61,716,129,105,243,268,0,3,0,2,3,5,1,4,2,-2222,1,1,1,1,1,1,1994-2003
17,153,Pulaski,Illinois,IL,76,1265,245,210,359,415,2,4,0,5,3,13,0,3,6,43,1,1,1,1,1,1,1994-2003
17,155,Putnam,Illinois,IL,57,688,176,92,339,359,0,3,3,4,3,8,0,3,4,284186,1,1,1,1,1,1,1994-2003
